DepartmentGroup,Department,GradeGroup,Grade,Role,RoleWithoutNumbers,EmployeeGradeDesc,HRLinkDeptCode,PreassignedPackageID,CreatedOn,ModifiedOn,ModifiedBy,Active
Business Leadership,Business Leadership: Account Management,Account Directors,100000,0111 Account Director,Account Director,Account Director,NA,5,09:53.4,22:17.0,luis.bustos@momentumww.com,1
Business Leadership,Business Leadership: Account Management,Account Executives,100001,0116 Account Executive,Account Executive,Account Executive,NA,NULL,09:53.4,NULL,NULL,1
Finance: General Accounting,Finance: General Accounting,Finance: General Accounting,100008,z40 zRole Not Required ,z40 zRole Not Required,Accounting Associate,FA,NULL,09:53.4,NULL,NULL,1
"Strategy, Research & Analytics",Analytics,Analytics,100016,0740 Analyst,Analyst,Analyst,SC,NULL,09:53.4,NULL,NULL,1
Creative,Creative: Art Direction,Art Directors,100023,4211 Art Director,Art Director,Art Director,BA,2,09:53.4,58:42.9,luis.bustos@momentumww.com,1
"Strategy, Research & Analytics",Analytics,Analytics,100024,"0712 Analytics, Associate Director","Analytics, Associate Director",Assoc Dir Anltc Srv,SC,NULL,09:53.4,NULL,NULL,1
Creative,Creative: Creative Directors,Creative Directors,100030,"4112 Creative Director, Associate Director","Creative Director, Associate Director",Assoc Creative Dir,BA,2,09:53.4,58:43.1,luis.bustos@momentumww.com,1
Business Leadership,Business Leadership: Account Management,Account Executives,100036,"0116 Account Executive, Assistant","Account Executive, Assistant",Asst Account Exec,NA,NULL,09:53.4,NULL,NULL,1
Content,Production: Content Producers,Business Affairs,100041,8740 Broadcast Business Manger,Broadcast Business Manger,Brdcst Business Mgr ,DE,NULL,09:53.4,NULL,NULL,1
Creative,Creative: Creative Directors,Leadership,100059,4000 Chief Creative Officer,Chief Creative Officer,Chief Creative Off,BA,NULL,09:53.4,NULL,NULL,1
Leadership,Leadership,Leadership,100060,0000 Chief Executive Officer,Chief Executive Officer,Chief Exec Officer,NE,2,09:53.4,31:30.5,luis.bustos@momentumww.com,1
Leadership,Leadership,Leadership,100062,0000 Chief Marketing Officer,Chief Marketing Officer,Chief Marketing Off,DG,2,09:53.4,31:30.6,luis.bustos@momentumww.com,1
Creative,Creative: Copywriting,Copywriters,100072,4340 Copywriter,Copywriter,Copywriter,BC,3,09:53.4,13:32.7,luis.bustos@momentumww.com,1
Creative,Creative: Creative Directors,Creative Directors,100077,4111 Creative Director,Creative Director,Creative Director,BA,3,09:53.4,13:33.2,luis.bustos@momentumww.com,1
zNon-bill - Admin/Office Svcs,zNon-bill - Admin/Office Svcs,Executive Assistants,100116,0119 Exec Assistant,Exec Assistant,Exec Assistant,AO,NULL,09:53.4,NULL,NULL,1
Finance: General Accounting,Finance: General Accounting,Finance: General Accounting,100121,z40 zRole Not Required ,z40 zRole Not Required,Financial Analyst,FA,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Group Account Directors,100132,0105 Group Account Director,Group Account Director,Group Director,NA,NULL,09:53.4,NULL,NULL,1
People Team,People Team,People Team,100140,z40 zRole Not Required ,z40 zRole Not Required,Human Resources,AH,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Executive Assistants,100143,z40 zRole Not Required ,z40 zRole Not Required,Intern,AO,NULL,09:53.4,NULL,NULL,1
Leadership,Leadership,Leadership,100197,0000 President,President,President ,NE,2,09:53.4,31:30.8,luis.bustos@momentumww.com,1
Experience Production (XP),Production: XP,XP - Producers,100205,6040 Producer,Producer,Producer,PR,NULL,09:53.4,NULL,NULL,1
Experience Production (XP),Production: XP,XP - Directors,100208,6011 Production Director,Production Director,Production Director,PR,NULL,09:53.4,NULL,NULL,1
Project Management,Project Management,Project Managers,100215,0315 Project Manager,Project Manager,Project Manager,PA,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Account Executives,100231,"0114 Account Executive, Senior","Account Executive, Senior",Sr Account Executive,NA,NULL,09:53.4,NULL,NULL,1
Studio,Production: Artworking,Art Buyers,100232,"8814 Art Buyer, Senior","Art Buyer, Senior",Senior Art Buyer ,PC,NULL,09:53.4,NULL,NULL,1
Creative,Creative: Art Direction,Art Directors,100234,"4210 Art Director, Senior","Art Director, Senior",Sr Art Director,BA,NULL,09:53.4,NULL,NULL,1
Creative,Creative: Copywriting,Copywriters,100236,"4314 Copywriter, Senior","Copywriter, Senior",Sr Copywriter,BC,NULL,09:53.4,NULL,NULL,1
Experience Production (XP),Production: XP,XP - Producers,100241,"6014 Producer, Senior","Producer, Senior",Sr Producer,PR,NULL,09:53.4,NULL,NULL,1
Project Management,Project Management,Project Managers,100247,"0313 Project Manager, Senior","Project Manager, Senior",Sr Project Manager,PA,NULL,09:53.4,NULL,NULL,1
Studio,Production: Artworking,Artworkers,100252,9015 Studio Manager,Studio Manager,Studio Manager,PC,NULL,09:53.4,NULL,NULL,1
Studio,Production: Artworking,Artworkers,100256,9140 Studio Specialist,Studio Specialist,Studio Specialist,PC,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Account Directors,100260,"0108 Account Director, SVP","Account Director, SVP",SVP Account Director ,NE,NULL,09:53.4,NULL,NULL,1
Creative,Creative: Creative Directors,Creative Directors,100261,"4103 Group Creative Director, SVP","Group Creative Director, SVP",SVP Group Creative Director,BA,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Account Directors,100276,"0109 Account Director, VP","Account Director, VP",VP Account Director,NA,NULL,09:53.4,NULL,NULL,1
Creative,Creative: Creative Directors,Creative Directors,100279,"4109 Creative Director, VP","Creative Director, VP",VP Creative Director,BA,NULL,09:53.4,NULL,NULL,1
Experience Production (XP),Production: XP,XP - Directors,100288,"6009 Production Director, VP","Production Director, VP",VP Production Dir,PR,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Account Managers,100291,0115 Account Manager,Account Manager,Account Manager,NA,NULL,09:53.4,NULL,NULL,1
Creative,Creative: Creative Directors,Managing Partners,100300,0101 Managing Partner,Managing Partner,ECD Managing Partner ,BA,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Account Managers,100303,"0113 Account Manager, Senior","Account Manager, Senior",Sr Account Manager,NA,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Account Directors,100304,"0110 Account Director, Senior","Account Director, Senior",Sr Account Director,NA,NULL,09:53.4,NULL,NULL,1
"Strategy, Research & Analytics",Analytics,Analytics,100333,"0714 Analyst, Senior","Analyst, Senior",Senior Analyst,SC,NULL,09:53.4,NULL,NULL,1
Experience Production (XP),Production: XP,XP - Producers,100367,"6017 Producer, Associate","Producer, Associate",Associate Producer,PR,NULL,09:53.4,NULL,NULL,1
Content,Production: Content Producers,Business Affairs,100385,"8711 Business Affairs, Director","Business Affairs, Director",Dir. Business Affairs,DE,NULL,09:53.4,NULL,NULL,1
Business Leadership,Business Leadership: Account Management,Managing Directors,100389,0101 Managing Director,Managing Director,Managing Director,NA,2,09:53.4,05:06.8,luis.bustos@momentumww.com,1
